Myofibroblasts,WNT2B+Fos-hi,WNT2B+Fos-lo1,WNT2B+Fos-lo2,RSPO3+,WNT5B+1,WNT5B+2,Inflammatory_Fibroblasts,Endothelial,Microvascular,Post-capillary_Venules,Pericytes
ACTA2,IGFBP7,APOE,APOE,LUM,CXCL14,NPY,IGFBP7,PLVAP,PLVAP,DARC,RGS5
ACTG2,ADAMDEC1,DCN,CFD,DCN,MATN3,CXCL14,LUM,CLDN5,IGFBP7,CLDN5,COX4I2
CNN1,CFD,IGFBP7,IGFBP7,IGFBP7,HAS1,VSTM2A,C1S,SEMA3G,GNG11,ZNF385D,HIGD1B
MYH11,APOE,ADAMDEC1,DCN,OGN,POSTN,ENHO,CHI3L1,RBP7,RAMP3,SELP,IGFBP7
TAGLN,DCN,CFD,ADAMDEC1,GREM2,VSTM2A,F3,LGALS1,MMRN2,VWF,MADCAM1,NOTCH3
HSD17B6,LUM,LUM,IFITM3,CFD,FRZB,CBLN2,NNMT,GPIHBP1,IFITM3,LINC01013,KCNJ8
PLN,CCL2,IFITM3,FBLN1,RSPO3,IGFBP7,NSG1,COL3A1,GJA4,EXOC3L2,IL33,CSRP2
SYT10,MFAP4,C1S,CCL11,FBLN1,NSG1,TNC,IFITM3,TMEM88,RAMP2,GALNT15,BGN
SOSTDC1,C1S,MFAP4,LUM,C7,PLAT,FRZB,RARRES2,FCN3,GSN,RAB3C,FAM162B
TPM2,C1R,FBLN1,CCL13,CHODL,DMKN,PLAT,DCN,SOX17,CRIP2,APLNR,ITGA7
MYL9,FBLN1,C1R,MFAP4,COL1A2,FGF9,REEP2,COL1A2,RAMP2,ESAM,FAM155A,EDNRA
MFAP5,CXCL14,LGALS1,LGALS1,C1S,ENHO,LGALS1,MMP2,GNG11,CD36,TLL1,FOXS1
HHIP,COL1A2,VIM,CCL8,PRELP,F3,DMKN,SPARC,COX4I2,ECSCR,VWF,MYL9
DES,VIM,COL1A2,SOD3,ASPN,LGALS1,AGT,C1R,RP11-251M1.1,FABP5,PLA1A,NDUFA4L2
DIO2,CCL8,CXCL14,C1S,RGMA,CBLN2,BMP4,COL1A1,RAMP3,SLC14A1,RAMP3,GJA4
CES1,LGALS1,COL3A1,CXCL14,C1R,GLP2R,COL6A2,LY6E,EGFL7,SPARCL1,ECSCR,NR2F2-AS1
LMOD1,IFITM3,TCF21,C1R,CCDC80,RP11-449D8.1,NRG1,MMP3,AIF1L,TM4SF18,SELE,HEYL
PDLIM3,COL3A1,TMEM176B,TMEM176B,C3,PODN,MMP11,COL6A2,ESAM,RP11-536O18.2,CYP1B1,RBPMS2
KCNMB1,TCF21,CTSC,TCF21,EFEMP1,COL4A6,POSTN,FBLN1,C1QTNF9,TMEM88,VEGFC,MCAM
NPNT,A2M,A2M,COL3A1,CCL11,C1QTNF7,TRPA1,SERPING1,INHBB,EGFL7,JAM2,RERG
RBPMS2,HAPLN1,CCL8,COL1A2,MFAP4,CHST1,PTX3,MFAP4,STC1,ELTD1,RASSF9,STEAP4
RERG,CTSC,CYGB,COL6A5,CFH,CAV1,RP4-755D9.1,COL6A1,CYYR1,SPARC,CPE,HEY2
AOC3,SOD3,PROCR,PTGDS,SERPINF1,PDGFD,DHRS7C,TSPAN4,JAM2,SDPR,ERG,EBF1
IGFBP7,TMEM176B,GPX3,A2M,GUCY1A3,REEP2,RP11-1002K11.1,PLAT,ECSCR,RBP5,IGFBP7,KCNE4
AC131025.8,GPX3,ABCA8,RARRES2,MGP,EDNRB,MMP2,TMEM176B,SLC14A1,FLT1,AC011526.1,EGFLAM
FAT4,CXCL12,CALD1,COL6A2,SOD3,MMP2,HS3ST3A1,TNC,CD320,KDR,EGFL7,PDGFRB
FBXL7,GSN,ITGB3,GSN,CXCL12,C10orf107,IGFBP3,HSD11B1,FLT1,FAM110D,PLVAP,CCDC3
MYLK,ABCA8,SOD3,ABCA8,CXCL6,HHIP-AS1,RXRG,MFGE8,CRIP2,VWA1,MEOX2,CD36
HHIP-AS1,RBP1,CCL2,FABP4,PLAC9,COL6A1,FST,PROCR,CLEC14A,CLEC14A,CLU,GUCY1B3
LGALS1,CYGB,CTSK,TNXB,ANGPTL1,KRTDAP,IGFBP7,PDPN,TM4SF18,PODXL,GPR126,RASL12
NEXN,STMN2,TIMP1,RBP1,GSN,COL6A2,COL6A1,F3,CD34,CD320,RAMP2,MGP
AF131217.1,PROCR,RBP1,PLAC9,PTGER1,MMP1,SEMA3A,SOD3,VWF,BAALC,BCL6B,TPPP3
PRKCDBP,CCL13,CHL1-AS2,SLIT3,CCL21,BMP4,MMP1,PXDN,HIGD1B,SNCG,KRT222,LGALS1
MIR145,COL1A1,PPP1R3C,RNF112,CCL19,AGT,INSC,PLAU,FABP5,FAM167B,CDH5,GJC1
OSR1,SERPINF1,SLCO1C1,CCL2,ADH1B,IGFBP3,ADAMTS7,CTSK,LCN6,AC011526.1,SNCG,GUCY1A3
PCDH7,CCL11,COL1A1,SGIP1,TCF21,TRPA1,SCUBE1,AGT,ENPP2,HSPA12B,FAM167B,PTGIR
SPESP1,COL6A2,LINC01082,TAC3,IFITM3,CYGB,ANGPT1,RBP1,CD36,EMCN,MEOX1,EFHD1
SYNPO2,SEPP1,COL6A2,COL1A1,SLIT3,TSHZ2,AC003090.1,TIMP1,FAM124B,CXorf36,HHEX,REM1
TGFB1I1,VCAM1,GGT5,LINC01082,MFAP5,PDE1A,MAP1B,TNFAIP6,AC011526.1,KANK3,PALMD,TNS1
LRRC17,PPAP2B,COLEC11,PPAP2B,COL14A1,RP4-755D9.1,RARRES2,CALD1,ELTD1,CA4,LMO2,COL5A3
DCN,LINC01082,SCARA5,CHL1-AS2,SERPING1,SOX6,AC002511.2,MMP1,GPR116,MMRN2,GNG11,FRZB
SGCA,PTN,RARRES2,ABCA6,CTSK,PDGFC,CH25H,DMKN,SOX7,CETP,MYCT1,ARHGEF17
TBXA2R,DKK3,HAPLN1,CYGB,THY1,RGS6,PDGFRA,TPM2,PODXL,MGP,CD34,PLXDC1
CSRP2,CALD1,CCL13,CALD1,PTGDS,AC003090.1,FOXL1,CCL2,CDH5,MYCT1,NRN1,PGF
FHL1,GGT5,GSN,C3,BGN,SDC2,WNT5B,APOE,ZNF541,ROBO4,CXorf36,GEM
NTN1,CTSK,TFPI2,FN1,ADAMDEC1,RBP4,CAV1,VIM,THSD1,ENG,CORT,MAP3K7CL
MYL6,CFH,PPAP2B,SFTA1P,DPT,HS3ST3A1,F2RL2,TMEM176A,MYCT1,KIAA1462,AC116035.1,ARHGAP29
APCDD1,CCL7,PLAC9,GPX3,SFRP1,WNT5B,BMP5,PCOLCE,SNCG,NPR1,TEK,ACTA2
PDLIM7,RARRES2,PTN,TFPI2,FN1,PTGDR2,COL4A5,A2M,FAM167B,CAV1,SOX7,MFGE8
TRPC6,AC061992.2,SPARC,COL14A1,PTGFR,FRY,FENDRR,TDO2,FAM110D,CD34,TSPAN18,SERPINI1
TMEM35,SLCO1C1,AC004538.3,CTSC,GSTM5,TNC,TSLP,CYGB,AVPR2,PRSS23,FOXC1,SOD3
COL1A2,PLAC9,CFH,CD63,TDO2,CALD1,EDNRB,PTX3,THSD7A,ARHGAP29,CLEC14A,ADAMTS1
AHNAK2,PMP22,DKK3,CLEC11A,GPC6,MFAP4,WNT5A,TCF21,EMCN,CLEC1A,CCDC178,BCAM
KCNH2,RP3-323P13.2,RPL12,ELANE,C16orf89,COL4A5,IFITM3,GPX3,EXOC3L2,TEK,KANK3,ANGPT2
CXCL14,EFEMP1,SERPINF1,GGT5,APOE,CPE,GSG1L,NRG1,ALPL,SLC9A3R2,C2CD4B,OLFM2
MRGPRF,NAALAD2,VCAM1,ITIH5,COL3A1,TMEM119,GLP2R,IL1R1,IFITM3,CDH5,FAM124A,ESAM
TGM2,LOXL4,CXCL12,CTSK,IGFBP5,FOS,BMP7,VCAM1,KDR,CYYR1,CALCRL,NFATC4
TM4SF1,SCARA5,RP11-264B14.1,MEG3,RARRES2,C11orf96,CALD1,MYL9,SDPR,PLAT,CYYR1,GPR116
FLNA,FNDC1,FZD10-AS1,CST3,RERG,EGOT,COL4A6,RP11-383H13.1,MGP,ERG,LYVE1,C1QTNF1
LTBP1,PTGFR,PMP22,WNT4,PMP22,GPX3,SOX6,FENDRR,GPR146,RAPGEF4,SPARCL1,RGS16
ARHGEF25,SPOCK1,STMN2,RPL13,CP,SDK1,C22orf31,PRKAR2B,TIE1,BCAM,C1QTNF9,ADIRF
TMEM200B,PTGDS,SFTA1P,PTN,HAPLN1,PDGFRA,CYTL1,STMN2,RGS5,SERPINE1,NPR1,CAV1
RP11-344E13.3,LINC00961,PTGDS,CXCL1,C1QTNF3,PDGFRL,COL3A1,AGAP2-AS1,FAM107A,LINC00162,SHANK3,MYH11
CAV1,MATN2,EPHA7,PRKCDBP,TMEM176B,TPM2,SDC2,HAPLN3,NPR1,APLN,KLK10,LHFP
TGFBR3,FOS,HSD11B1,LTBP4,COL6A2,FENDRR,SLITRK6,TMEM119,SPARCL1,ARHGEF15,FAM110D,TINAGL1
TPPP3,PAMR1,MMP2,HAAO,GUCY1B3,SEMA3A,FAM150B,TRPA1,NOTCH4,TMEM204,AC004540.4,CALD1
ADAMDEC1,FABP4,RP11-2E17.1,NOVA1,CCL2,LINC00839,GPX3,S100A11,NOS3,DYSF,ELTD1,GPX3
C1QTNF2,FMO3,LRRC15,SERPINF1,VCAM1,FAM150B,FOXF1,F2R,BTNL9,CALCRL,CCL23,RRAD
CBR3,RBFOX1,CLEC11A,MRC2,CALD1,SCUBE1,TPM2,POSTN,RP11-536O18.1,CLDN5,CLEC1A,ASPN
TTLL7,TDO2,TNFRSF19,GPC6,A2M,RP11-423H2.3,CLSTN2,CXCL14,GPRC5B,GALNT18,LDLRAD3,4-Sep
ARSI,TMEM176A,PCOLCE,PROCR,RAB23,MMP11,RP11-2E17.1,SELM,CAV1,AC116035.1,EBF1,NR2F2
WFDC1,ADAM28,THY1,C7,ABCA8,DHRS7C,PTGDR2,IFITM2,SOX18,PCDH12,CD109,HGF
MIR143HG,SGCE,PKNOX2,CXCL12,FIBIN,APOD,CYGB,SDC2,CCM2L,RGCC,TPO,FRMD3
LUM,SERPING1,OMG,TIMP1,GPX3,SERPINF1,TMEM119,CLEC11A,SHANK3,SOX18,CFI,PRKCDBP
COL3A1,NNMT,MFGE8,CFH,CADM3,HLF,COL1A2,PRKG1,ARC,F2RL3,SOX18,ISYNA1
WNT2B,MMP2,SERPING1,FZD10-AS1,CES1,TMEM176B,PDGFRL,SAMD11,NOV,RARB,BAALC,IFITM3
CASC15,RP11-93L9.1,SEMA3E,RNA28S5,ELN,EDAR,ATP8A2,CTC-276P9.1,IGFBP7,PASK,CD93,FAM13C
PGM5,CXCL1,PAMR1,ABLIM3,PCOLCE,RARRES2,MMP3,NSG1,DYSF,RASIP1,ROBO4,NTF3
SMTN,SNAI2,EMILIN1,NR2F1-AS1,HSPB6,RGS17,TSHZ2,LAMA2,PALMD,HLX,TSPAN7,AC131025.8
LINC01082,CYR61,TAC3,SCARA5,SERPINE2,MAP1B,PODN,WFDC1,GPR4,PRX,FILIP1,COL18A1
KCNE4,PCOLCE,SEPP1,CD81,HTRA3,HHIP,MFGE8,PCDH18,AC116035.1,HIF3A,KCNMB3,SYDE1
C1S,TIMP1,SVEP1,NGFRAP1,COL12A1,SYNPO2,SPARC,NR2F1,HEY1,TIE1,ZNF521,CD248
APOC1,ADAMTS1,EVA1A,SELM,MAB21L2,HMGCLL1,WFDC1,ECM1,USHBP1,TBXA2R,TGFBR3,NFASC
FN1,CLEC11A,NR2F1-AS1,SVEP1,FGF7,FOLR1,PDGFD,FRZB,HSPA12B,AVPR2,MMRN2,HES4
APOE,KIAA1755,FBLN5,CCL19,FBLN5,WNT5A,FBN2,PKIG,APLNR,AFAP1L1,ESAM,LRRC32
C1R,IL34,TMEM176A,ZCCHC24,OLFML3,INSC,MFAP4,FILIP1L,TMEM255B,ANGPT2,CTGF,TPM2
ZP1,CHL1,SPOCK1,EMILIN1,PAMR1,C3orf55,CHST1,PITX1,NRN1,NOS3,THSD1,EHD2
SPARCL1,ITIH5,SNAI2,SOBP,SRPX,BMP5,LPAR3,PRR16,SLC9A3R2,NOTCH4,SDPR,HOXB-AS1
IGFBP5,SFTA1P,CCL11,COL6A1,IGFBP6,FOXF1,OBSCN,PLAC9,HIF3A,CABP1,CCL14,LMOD1
PDGFC,FMO2,IL34,PDGFRB,DKK3,C1QL1,ECM1,LRRN4CL,IGFBP4,CAV2,LIFR,PTP4A3
SPARC,HSPB8,EFEMP1,SFRP1,ISLR,FOXL1,LAMC3,GGT5,BCAM,ENPP2,ADM5,GPR124
RBPMS,ACKR3,EDA2R,IL34,SVEP1,IFITM3,FGF9,CH25H,ARHGAP29,C1QTNF3,RASIP1,GNG11
HSPB1,EPHA7,ADAM28,S100A13,IGFBP3,GRID1,PRR16,SGCB,KANK3,PDE2A,CD74,AP000688.8
SELM,THY1,FABP4,MMP2,MATN2,CH25H,NRIP3,CFD,CLEC1A,IGFBP4,LCN6,CTD-3193K9.4
MRVI1,TFPI2,COL14A1,LAMA2,GPNMB,IGF2,ARHGAP28,IL34,S1PR1,FGD5,NNMT,PTK2
TPM1,ANGPTL1,PRKCDBP,COL16A1,TPST1,ARHGAP28,SALL1,NDN,ERG,VAMP5,AVPR2,CRIP2
MAMDC2,FBLN5,SMIM10,ARHGEF17,MEG3,RXRG,C1QTNF7,MXRA5,ROBO4,SH3BP5,CRIP2,SYNPO2
COL6A2,CD63,HTRA3,SCT,FBLN2,SPARC,SRPX2,TIMP3,NOTCH3,PTRF,ADAMTS4,MRVI1
CRYAB,FGF7,SELM,TMEM176A,COL1A1,COL3A1,TMEM176B,RGS10,ANGPT2,USHBP1,FAM107A,TAGLN
MFAP4,SELM,RGAG4,IGFBP5,CXCL1,PITX1,MRVI1,CTSC,LDB2,STARD8,DTL,HSPB1
CALD1,IGFBP6,EFEMP2,COL5A1,GPC3,ECM1,COL1A1,EFEMP1,THBD,WWTR1,ENPP2,PKIG
PPP1R14A,TM4SF1,GNG11,ADAM28,LTBP4,TAGLN,RBPMS,GNG11,RBP5,JAM2,KCTD12,NR1H4
CRIP2,MEG3,HAAO,PPP1R14A,SPARC,LAMA4,LEF1-AS1,CYB5R3,GSN,HTRA1,IGFBP4,COX7A1
POSTN,EDIL3,BMP4,HAPLN1,CLEC11A,COL1A2,EMILIN1,PRAF2,HHEX,LDB2,BCAM,COL4A2
TUBB6,SPARC,ECM1,APOC1,SPARCL1,C1S,SERPINF1,BMP4,IL3RA,TM4SF1,HLA-DRA,LURAP1L
IFITM3,BMP4,MATN2,IGFBP6,GGT5,MYL9,TIMP1,EMP3,PTRF,NRP1,CTNNAL1,SPARC
COL1A1,SPON2,SGCE,COL18A1,PROCR,CXCL12,C1S,CAV1,HLA-DRB1,HHEX,RBP5,PRSS23
MACROD2,ADH1B,COL6A1,SERPING1,TNFSF13B,PLK2,CTC-276P9.1,AC017048.3,ENG,IL3RA,CAV1,PTRF
VAT1L,OLFML3,ADH1B,RAB13,SDC2,NDUFA4L2,HSD17B2,CYR61,TM4SF1,KIFC3,IFITM3,KANK2
DSTN,HAAO,PLTP,PMP22,TIMP3,PCOLCE,C1R,ICAM1,GIMAP7,COL4A1,PTRF,RCAN2
ADAMTS6,PPAP2A,NNMT,QSOX1,SPON2,CYR61,C11orf96,WARS,TMEM204,HSPG2,SH3BP5,EPHX1
MXRA8,EMILIN1,PPP1R14A,BMP4,ECM1,COL1A1,PPP1R14A,TGFBI,CAV2,ARHGAP23,TMEM100,TSC22D1
CFD,PPP1R14A,TSPAN4,SPARC,FHL1,CAV2,PITX1,EMILIN1,RUNDC3B,GIMAP7,TM4SF1,SERPING1
COL4A2,PLTP,SPON2,NNMT,EFEMP2,PROCR,IGFBP6,SERPINF1,CD74,JAM3,GIMAP7,C11orf96
TMEM176B,EFEMP2,PLAT,VIM,HAAO,CTC-276P9.1,FKBP10,PMP22,SH3BP5,CIT,ICAM1,STOM
PDIA5,PRKCDBP,PPAP2A,STMN2,LINC01082,SGCE,PCOLCE,PRKCDBP,IFI27,PPAP2B,TIAM1,TIMP1
GSN,TPM2,TPM2,PCOLCE,PDE5A,HSD17B2,COL5A1,ADAMDEC1,CTGF,A2M,HLA-DRB1,SDC2
PPIC,PLAT,IGFBP6,SPON2,FRZB,C1R,CLEC11A,LEPROT,GIMAP1,CTGF,CD320,C8orf4
SERPING1,GNG11,TM4SF1,LAMA4,PRKCDBP,CTGF,TGFBI,NINJ1,VAMP5,ANKRD65,KLHL3,ADCY3
COL6A1,NDN,LAMA4,GNG11,APOD,NNMT,MYL9,ITGB1,C10orf10,IFITM2,EMCN,TIMP3
PMP22,TSPAN4,MYL9,ADH1B,COL6A1,IGFBP6,SCPEP1,TRAFD1,TGFBR2,RND1,LMCD1,CTSF
CSRP1,ECM1,FHL1,TPM2,MMP2,EMILIN1,TGFB1I1,GBP1,CLIC2,SEMA3F,GIMAP4,EPAS1
C9orf3,COL6A1,SPARCL1,PTMS,MYL9,PPP1R14A,PROCR,,HLA-DRA,NKX2-3,TGFBR2,EPS8
ACTN1,FHL1,NDN,NUPR1,SGCE,WFDC1,TCF21,,ICAM2,CLIC2,NCOA7,NDUFAF4
EFEMP2,SDC2,APOC1,TSPAN4,CYGB,NBL1,A2M,,A2M,ICAM2,ENG,MAP1LC3A
COX7A1,SPARCL1,RAB34,PPAP2A,BMP4,RBPMS,LAMA4,,TIMP3,NOSTRIN,LY6E,COL3A1
MMP2,SOCS3,LTBP4,BST2,GSTM3,ACTA2,LTBP4,,NPDC1,STOM,TESC,PTN
TUBA1A,NGFRAP1,QSOX1,SEPP1,ALDH1A1,TIMP1,SERPING1,,GIMAP4,COL4A2,CAV2,A2M
SGCE,MYL9,NGFRAP1,NPC2,EPHX1,MXRA8,MXRA8,,JAG2,TGFBR2,CLIC2,TCF21
SDC2,LTBP4,LY6E,,OSR2,TCF21,S100A13,,PLAT,CCDC85B,HLA-DPA1,COL1A2
DPEP2,,,,S100A13,A2M,EFEMP2,,RNASE1,NPDC1,IL3RA,PPP1R14A
SERPINF1,,,,RNF146,TGFBI,PRKCDBP,,SPARC,C11orf95,HLA-DRB5,MEST
NDUFA4,,,,MAPKAP1,SCPEP1,GADD45G,,HLA-DRB5,EHD4,NPDC1,ID3
TCEAL4,,,,,GADD45G,TM4SF1,,NOSTRIN,IGFBP3,RND1,
TCEAL1,,,,,TSPAN4,TSPAN4,,HYAL2,ADARB1,GIMAP1,
ITGB1,,,,,SERPING1,NNMT,,GIMAP5,ABI3,MGP,
SOD3,,,,,CPM,BST2,,EPAS1,IGFBP6,FABP5,
FBLN1,,,,,TUBA1A,PKIG,,PRSS23,PPAP2A,HLA-DPB1,
MFGE8,,,,,GADD45B,SELM,,IFITM2,BST2,SRPX,
S100A4,,,,,TM4SF1,RBP1,,HLA-DPA1,RNASE1,NOSTRIN,
PTMS,,,,,MFGE8,NBL1,,TSPAN7,TSPAN12,HYAL2,
TCF21,,,,,ADM,APOE,,HLA-DPB1,C16orf80,PLK2,
NBL1,,,,,EGR1,VIM,,STOM,C8orf4,FAM84B,
ILK,,,,,PKIG,RGS10,,CCDC85B,TSPAN4,ITM2A,
SLC12A8,,,,,HSPA1A,LAPTM4A,,C8orf4,MCPH1,ICAM4,
RARRES2,,,,,ANXA5,LGALS3BP,,HLA-DMA,EGLN3,IFITM2,
NUPR1,,,,,SOCS3,TMEM176A,,EFNA1,TBCD,TCF4,
A2M,,,,,RGS10,AKR1B1,,BST2,IVNS1ABP,RNASE1,
KANK1,,,,,HUS1B,PTMS,,SRGN,RARG,GIMAP5,
SVIL,,,,,ID1,ANXA5,,ANKRD29,TBC1D8,BST2,
LPP,,,,,TMEM176A,EMP3,,AQP1,RIN1,TIMP1,
THSD4,,,,,BST2,,,ARL15,ME3,SPARC,
SLMAP,,,,,LTBP4,,,MECOM,ITGA6,SMAD1,
HMG20B,,,,,FBXW7,,,EDN1,SCARB1,TPD52L1,
TEAD3,,,,,GDF15,,,EFNB2,PGS1,HLA-DMA,
RP11-379B18.5,,,,,,,,SSUH2,MICALL1,TNFSF10,
MBNL1-AS1,,,,,,,,SRP14,TP53I11,WARS,
,,,,,,,,,SETD4,FAM213A,
,,,,,,,,,MPV17L2,CCDC85B,
,,,,,,,,,,SOCS3,
,,,,,,,,,,A2M,
,,,,,,,,,,DUSP23,
,,,,,,,,,,SYT15,
,,,,,,,,,,ZSCAN31,
,,,,,,,,,,PRCP,
,,,,,,,,,,PRKAR1B,
,,,,,,,,,,SEMA6A,
,,,,,,,,,,CITED4,
,,,,,,,,,,LPCAT4,
,,,,,,,,,,IFIH1,
,,,,,,,,,,KIAA1683,
,,,,,,,,,,NR5A2,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,